Pacman:
Best Base Fitness: 
p 20 4
p 21 3
p 12 0
p 20 13
p 21 12
p 27 0
p 27 9
p 28 8
p 10 2
p 27 18
p 28 17
p 10 11
p 11 10
p 11 19
p 2 16
p 26 19
p 18 15
p 34 8
p 34 17
p 17 10
p 9 6
p 0 3
p 25 2
p 9 15
p 0 12
p 6 0
p 24 15
p 6 9
p 16 11
t 1750 0
m 1 19
0 33 0
1 0 1
2 33 19
t 1749 0.0
m 2 19
0 32 0
1 0 2
2 32 19
t 1748 0.7751937984496124
m 3 19
0 33 0
1 0 3
2 31 19
t 1747 0.7751937984496124
m 4 19
0 34 0
1 1 3
2 30 19
t 1746 0.7751937984496124
m 5 19
0 33 0
1 2 3
2 29 19
t 1745 1.550387596899225
m 6 19
0 34 0
1 3 3
2 28 19
t 1744 1.550387596899225
m 7 19
0 34 1
1 4 3
2 27 19
t 1743 1.550387596899225
m 7 19
0 34 2
1 5 3
2 26 19
t 1742 1.550387596899225
m 7 19
0 34 1
1 5 4
2 25 19
t 1741 1.550387596899225
m 7 19
0 34 0
1 5 5
2 24 19
t 1740 1.550387596899225
m 7 19
0 33 0
1 5 6
2 23 19
t 1739 1.550387596899225
m 7 19
0 34 0
1 6 6
2 22 19
t 1738 1.550387596899225
m 7 19
0 34 1
1 7 6
2 21 19
t 1737 1.550387596899225
m 6 19
0 34 0
1 6 6
2 20 19
t 1736 1.550387596899225
m 5 19
0 34 1
1 5 6
2 19 19
t 1735 1.550387596899225
m 4 19
0 34 0
1 4 6
2 18 19
t 1734 1.550387596899225
m 3 19
0 33 0
1 3 6
2 18 18
t 1733 1.550387596899225
m 4 19
0 32 0
1 3 7
2 18 19
t 1732 1.550387596899225
m 4 19
0 31 0
1 3 8
2 19 19
t 1731 1.550387596899225
m 5 19
0 32 0
1 4 8
2 18 19
t 1730 1.550387596899225
m 5 19
0 31 0
1 5 8
2 19 19
t 1729 1.550387596899225
m 6 19
0 30 0
1 4 8
2 18 19
t 1728 1.550387596899225
m 6 19
0 31 0
1 5 8
2 19 19
t 1727 1.550387596899225
m 6 19
0 32 0
1 6 8
2 18 19
t 1726 1.550387596899225
m 5 19
0 33 0
1 6 9
2 19 19
t 1725 1.550387596899225
m 4 19
0 34 0
1 6 10
2 18 19
t 1724 1.550387596899225
m 3 19
0 33 0
1 6 11
2 19 19
t 1723 1.550387596899225
m 2 19
0 34 0
1 5 11
2 18 19
t 1722 1.550387596899225
m 1 19
0 33 0
1 4 11
2 19 19
t 1721 1.550387596899225
m 0 19
0 34 0
1 3 11
2 18 19
t 1720 1.550387596899225
m 0 19
0 34 1
1 2 11
2 19 19
t 1719 1.550387596899225
m 0 19
0 34 0
1 1 11
2 18 19
t 1718 1.550387596899225
m 0 19
0 33 0
1 0 11
2 19 19
t 1717 1.550387596899225
m 1 19
0 34 0
1 0 12
2 18 19
t 1716 1.550387596899225
m 2 19
0 34 1
1 0 13
2 19 19
t 1715 1.550387596899225
m 3 19
0 34 0
1 0 14
2 18 19
t 1714 1.550387596899225
m 4 19
0 33 0
1 0 15
2 19 19
t 1713 1.550387596899225
m 5 19
0 34 0
1 0 16
2 18 19
t 1712 1.550387596899225
m 6 19
0 34 1
1 0 17
2 19 19
t 1711 1.550387596899225
m 7 19
0 34 0
1 0 18
2 18 19
t 1710 1.550387596899225
m 8 19
0 33 0
1 0 19
2 19 19
t 1709 2.3255813953488373
m 9 19
0 32 0
1 1 19
2 18 19
t 1708 2.3255813953488373
m 9 19
0 33 0
1 2 19
2 19 19
t 1707 2.3255813953488373
m 10 19
0 34 0
1 3 19
2 18 19
t 1706 2.3255813953488373
m 10 19
0 34 1
1 4 19
2 18 18
t 1705 2.3255813953488373
m 11 19
0 34 0
1 5 19
2 18 19
t 1704 3.10077519379845
m 11 19
0 33 0
1 6 19
2 18 18
t 1703 3.10077519379845
m 12 19
0 34 0
1 7 19
2 18 19
t 1702 3.10077519379845
m 12 19
0 33 0
1 8 19
2 19 19
t 1701 3.10077519379845
m 13 19
0 34 0
1 9 19
2 18 19
t 1700 3.10077519379845
m 13 19
0 33 0
1 10 19
2 18 18
t 1699 3.10077519379845
m 14 19
0 34 0
1 11 19
2 18 19
t 1698 3.875968992248062
m 14 19
0 34 1
1 12 19
2 18 18
t 1697 3.875968992248062
m 15 19
0 34 0
1 13 19
2 18 19
t 1696 3.875968992248062
m 15 19
0 34 1
1 14 19
2 18 18
t 1695 3.875968992248062
m 16 19
0 34 0
1 15 19
2 18 19
t 1694 3.875968992248062
m 16 18
0 34 1
1 16 19
2 19 19
t 1693 3.875968992248062
m 16 17
0 34 0
1 16 18
2 20 19
t 1692 4.651162790697675
m 17 17
0 33 0
1 16 17
2 21 19
t 1691 4.651162790697675
m 18 17
0 34 0
1 17 17
2 20 19
t 1690 4.651162790697675
m 18 18
0 34 1
1 18 17
2 19 19
t 1689 5.426356589147287
0 34 0
1 18 18
2 18 19
t 1688 -91.03078626799557
35
20
m 0 19
0 34 0
1 0 0
2 34 19
w 0 9
w 0 10
w 1 1
w 1 2
w 1 4
w 1 5
w 1 6
w 1 7
w 1 9
w 1 10
w 1 12
w 1 13
w 1 14
w 1 16
w 1 17
w 1 18
w 2 1
w 2 2
w 2 4
w 2 5
w 2 6
w 2 7
w 2 9
w 2 10
w 2 18
w 3 1
w 3 2
w 3 4
w 3 5
w 3 12
w 3 14
w 3 16
w 3 18
w 4 1
w 4 2
w 4 4
w 4 5
w 4 7
w 4 9
w 4 10
w 4 12
w 4 14
w 4 16
w 4 18
w 5 1
w 5 2
w 5 7
w 5 9
w 5 10
w 5 12
w 5 14
w 5 16
w 5 18
w 6 1
w 6 2
w 6 4
w 6 5
w 6 7
w 6 12
w 6 14
w 6 16
w 6 18
w 7 4
w 7 5
w 7 7
w 7 8
w 7 10
w 7 12
w 7 14
w 7 16
w 8 1
w 8 2
w 8 4
w 8 5
w 8 7
w 8 8
w 8 10
w 8 12
w 8 16
w 8 18
w 9 1
w 9 8
w 9 10
w 9 12
w 9 14
w 9 16
w 9 18
w 10 1
w 10 3
w 10 4
w 10 6
w 10 8
w 10 10
w 10 12
w 10 14
w 10 16
w 10 18
w 11 1
w 11 3
w 11 4
w 11 6
w 11 14
w 11 16
w 11 18
w 12 1
w 12 3
w 12 4
w 12 6
w 12 8
w 12 9
w 12 10
w 12 11
w 12 12
w 12 14
w 12 18
w 13 1
w 13 6
w 13 14
w 13 16
w 13 18
w 14 1
w 14 3
w 14 5
w 14 6
w 14 8
w 14 10
w 14 12
w 14 14
w 14 16
w 14 18
w 15 1
w 15 3
w 15 5
w 15 6
w 15 8
w 15 10
w 15 12
w 15 14
w 15 16
w 15 18
w 16 3
w 16 5
w 16 6
w 16 8
w 16 10
w 16 12
w 17 0
w 17 1
w 17 2
w 17 3
w 17 8
w 17 12
w 17 13
w 17 15
w 17 16
w 17 18
w 17 19
w 18 3
w 18 5
w 18 6
w 18 8
w 18 10
w 18 12
w 19 1
w 19 3
w 19 5
w 19 6
w 19 8
w 19 10
w 19 12
w 19 14
w 19 16
w 19 18
w 20 1
w 20 3
w 20 5
w 20 6
w 20 8
w 20 10
w 20 12
w 20 14
w 20 16
w 20 18
w 21 1
w 21 6
w 21 14
w 21 16
w 21 18
w 22 1
w 22 3
w 22 4
w 22 6
w 22 8
w 22 9
w 22 10
w 22 11
w 22 12
w 22 14
w 22 18
w 23 1
w 23 3
w 23 4
w 23 6
w 23 14
w 23 16
w 23 18
w 24 1
w 24 3
w 24 4
w 24 6
w 24 8
w 24 10
w 24 12
w 24 14
w 24 16
w 24 18
w 25 1
w 25 8
w 25 10
w 25 12
w 25 14
w 25 16
w 25 18
w 26 1
w 26 2
w 26 4
w 26 5
w 26 7
w 26 8
w 26 10
w 26 12
w 26 16
w 26 18
w 27 4
w 27 5
w 27 7
w 27 8
w 27 10
w 27 12
w 27 14
w 27 16
w 28 1
w 28 2
w 28 4
w 28 5
w 28 7
w 28 12
w 28 14
w 28 16
w 28 18
w 29 1
w 29 2
w 29 7
w 29 9
w 29 10
w 29 12
w 29 14
w 29 16
w 29 18
w 30 1
w 30 2
w 30 4
w 30 5
w 30 7
w 30 9
w 30 10
w 30 12
w 30 14
w 30 16
w 30 18
w 31 1
w 31 2
w 31 4
w 31 5
w 31 12
w 31 14
w 31 16
w 31 18
w 32 1
w 32 2
w 32 4
w 32 5
w 32 6
w 32 7
w 32 9
w 32 10
w 32 18
w 33 1
w 33 2
w 33 4
w 33 5
w 33 6
w 33 7
w 33 9
w 33 10
w 33 12
w 33 13
w 33 14
w 33 16
w 33 17
w 33 18
w 34 9
w 34 10
p 7 17
p 22 17
p 30 0
p 14 13
p 5 19
p 13 8
p 29 4
p 13 17
p 21 0
p 21 9
p 27 6
p 3 6
p 19 2
p 3 15
p 19 11
p 11 7
p 1 8
p 34 5
p 34 14
p 17 7
p 9 3
p 0 0
p 15 0
p 32 16
p 33 15
p 15 9
p 6 6
p 25 11
p 16 17
p 32 19
p 31 8
p 22 5
p 31 17
p 23 13
p 30 6
p 14 19
p 13 5
p 29 13
p 3 3
p 20 19
p 12 15
p 28 11
p 4 11
p 27 15
p 10 17
p 18 0
p 26 13
p 2 13
p 18 9
p 18 18
p 34 2
p 34 11
p 17 4
p 9 0
p 9 9
p 33 3
p 24 0
p 32 13
p 8 13
p 24 9
p 7 2
p 0 18
p 25 17
p 16 14
p 7 11
p 22 2
p 6 15
p 23 10
p 14 7
p 5 4
p 23 19
p 5 13
p 13 2
p 30 15
p 13 11
p 20 7
p 3 0
p 29 19
p 21 15
p 3 9
p 4 8
p 27 3
p 4 17
p 10 5
p 19 17
p 1 11
p 11 13
p 2 19
p 33 0
p 0 6
p 25 5
p 8 19
p 16 2
p 0 15
p 6 3
p 15 15
p 31 11
p 23 7
p 14 4
p 30 3
p 20 4
p 21 3
p 12 0
p 20 13
p 21 12
p 27 0
p 27 9
p 28 8
p 10 2
p 27 18
p 28 17
p 10 11
p 11 10
p 11 19
p 2 16
p 26 19
p 18 15
p 34 8
p 34 17
p 17 10
p 9 6
p 0 3
p 25 2
p 9 15
p 0 12
p 6 0
p 24 15
p 6 9
p 16 11
t 1750 0
m 1 19
0 33 0
1 0 1
2 33 19
t 1749 0.0
m 2 19
0 32 0
1 0 2
2 32 19
t 1748 0.7751937984496124
m 3 19
0 31 0
1 0 3
2 31 19
t 1747 0.7751937984496124
m 4 19
0 30 0
1 1 3
2 30 19
t 1746 0.7751937984496124
m 5 19
0 29 0
1 2 3
2 29 19
t 1745 1.550387596899225
m 6 19
0 28 0
1 3 3
2 28 19
t 1744 1.550387596899225
m 7 19
0 27 0
1 4 3
2 27 19
t 1743 1.550387596899225
m 7 19
0 26 0
1 5 3
2 26 19
t 1742 1.550387596899225
m 7 19
0 27 0
1 5 4
2 25 19
t 1741 1.550387596899225
m 7 19
0 28 0
1 5 5
2 24 19
t 1740 1.550387596899225
m 7 19
0 29 0
1 5 6
2 23 19
t 1739 1.550387596899225
m 7 19
0 30 0
1 6 6
2 22 19
t 1738 1.550387596899225
m 7 19
0 29 0
1 7 6
2 21 19
t 1737 1.550387596899225
m 6 19
0 30 0
1 8 6
2 20 19
t 1736 1.550387596899225
m 5 19
0 31 0
1 7 6
2 19 19
t 1735 1.550387596899225
m 4 19
0 32 0
1 6 6
2 18 19
t 1734 1.550387596899225
m 3 19
0 33 0
1 5 6
2 19 19
t 1733 1.550387596899225
m 2 19
0 34 0
1 4 6
2 18 19
t 1732 1.550387596899225
m 1 19
0 34 1
1 3 6
2 19 19
t 1731 1.550387596899225
m 0 19
0 34 0
1 3 7
2 18 19
t 1730 1.550387596899225
m 0 19
0 33 0
1 3 8
2 19 19
t 1729 1.550387596899225
m 0 19
0 34 0
1 2 8
2 18 19
t 1728 1.550387596899225
m 0 19
0 34 1
1 1 8
2 19 19
t 1727 1.550387596899225
m 0 19
0 34 2
1 0 8
2 18 19
t 1726 1.550387596899225
m 1 19
0 34 1
1 0 7
2 19 19
t 1725 1.550387596899225
m 2 19
0 34 2
1 0 8
2 18 19
t 1724 1.550387596899225
m 3 19
0 34 1
1 1 8
2 19 19
t 1723 1.550387596899225
m 4 19
0 34 0
1 2 8
2 18 19
t 1722 1.550387596899225
m 4 19
0 33 0
1 3 8
2 19 19
t 1721 1.550387596899225
m 5 19
0 34 0
1 4 8
2 18 19
t 1720 1.550387596899225
m 5 19
0 33 0
1 5 8
2 19 19
t 1719 1.550387596899225
m 6 19
0 34 0
1 4 8
2 18 19
t 1718 1.550387596899225
m 6 19
0 33 0
1 5 8
2 19 19
t 1717 1.550387596899225
m 6 19
0 34 0
1 6 8
2 18 19
t 1716 1.550387596899225
m 5 19
0 33 0
1 6 9
2 19 19
t 1715 1.550387596899225
m 4 19
0 34 0
1 6 10
2 18 19
t 1714 1.550387596899225
m 3 19
0 33 0
1 6 11
2 19 19
t 1713 1.550387596899225
m 2 19
0 34 0
1 5 11
2 18 19
t 1712 1.550387596899225
m 1 19
0 33 0
1 4 11
2 19 19
t 1711 1.550387596899225
m 0 19
0 34 0
1 3 11
2 18 19
t 1710 1.550387596899225
m 0 19
0 33 0
1 2 11
2 19 19
t 1709 1.550387596899225
m 0 19
0 34 0
1 1 11
2 18 19
t 1708 1.550387596899225
m 0 19
0 33 0
1 0 11
2 19 19
t 1707 1.550387596899225
m 1 19
0 34 0
1 0 12
2 18 19
t 1706 1.550387596899225
m 2 19
0 34 1
1 0 13
2 19 19
t 1705 1.550387596899225
m 3 19
0 34 2
1 0 14
2 18 19
t 1704 1.550387596899225
m 4 19
0 34 1
1 0 15
2 19 19
t 1703 1.550387596899225
m 5 19
0 34 0
1 1 15
2 18 19
t 1702 1.550387596899225
m 6 19
0 34 1
1 2 15
2 19 19
t 1701 1.550387596899225
m 7 19
0 34 0
1 2 16
2 18 19
t 1700 1.550387596899225
m 8 19
0 34 1
1 2 17
2 19 19
t 1699 2.3255813953488373
m 9 19
0 34 0
1 3 17
2 18 19
t 1698 2.3255813953488373
m 9 19
0 34 1
1 4 17
2 19 19
t 1697 2.3255813953488373
m 10 19
0 34 0
1 5 17
2 18 19
t 1696 2.3255813953488373
m 10 19
0 34 1
1 6 17
2 19 19
t 1695 2.3255813953488373
m 11 19
0 34 0
1 7 17
2 18 19
t 1694 3.10077519379845
m 11 19
0 33 0
1 7 18
2 19 19
t 1693 3.10077519379845
m 12 19
0 34 0
1 7 19
2 18 19
t 1692 3.10077519379845
m 12 19
0 33 0
1 8 19
2 19 19
t 1691 3.10077519379845
m 13 19
0 34 0
1 9 19
2 18 19
t 1690 3.10077519379845
m 13 19
0 33 0
1 10 19
2 19 19
t 1689 3.10077519379845
m 14 19
0 34 0
1 11 19
2 18 19
t 1688 3.875968992248062
m 14 19
0 33 0
1 12 19
2 19 19
t 1687 3.875968992248062
m 15 19
0 32 0
1 13 19
2 18 19
t 1686 3.875968992248062
m 15 19
0 33 0
1 14 19
2 18 18
t 1685 3.875968992248062
m 16 19
0 34 0
1 15 19
2 18 19
t 1684 3.875968992248062
m 16 18
0 34 1
1 16 19
2 19 19
t 1683 3.875968992248062
m 16 17
0 34 0
1 16 18
2 20 19
t 1682 4.651162790697675
m 17 17
0 33 0
1 16 17
2 21 19
t 1681 4.651162790697675
m 18 17
0 34 0
1 17 17
2 20 19
t 1680 4.651162790697675
m 18 18
0 34 1
1 18 17
2 19 19
t 1679 5.426356589147287
0 34 0
1 18 18
2 18 19
t 1678 -90.459357696567

